11,2
69,51
13,94
49,78
11,92
83,60
54,28
73,60
98,85
61,53
67,9
62,60
89,68
85,22
51,74
53,93
65,25
58,51
54,97
99,42
98,17
74,47
78,72
3,96
100,43
36,60
56,69
14,78
93,90
65,70
56,89
15,93
83,38
94,6
22,7
27,96
76,71
94,20
91,42
76,18
98,29
38,51
86,20
98,27
91,69
58,90
93,77
23,67
24,86
19,82
49,90
98,33
92,79
95,31
87,76
87,40
21,47
45,11
29,70
89,54
43,63
57,71
99,42
91,75
16,61
62,13
56,98
83,83
32,4
16,99
38,45
32,52
2,72
38,35
47,5
69,39
90,38
71,50
37,35
97,14
47,100
20,28
24,25
20,59
81,87
54,82
61,20
52,59
40,98
99,31
44,89
29,64
66,22
79,79
49,34
78,48
4,56
41,42
39,46
30,24
